dep,PARKSAUSTRALIA_CGMP_201807_CG_7_30,PARKSAUSTRALIA_CGMP_201812_CG_12_20,PARKSAUSTRALIA_CGMP_201812_CG_1_31,PARKSAUSTRALIA_CGMP_201812_CG_2_19,PARKSAUSTRALIA_CGMP_201904_CG_5_31,PARKSAUSTRALIA_CGMP_201904_CG_6_23,PARKSAUSTRALIA_DAMPIER_202009_DNE_10_30,PARKSAUSTRALIA_DAMPIER_202009_DNE_9_21,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_1_19,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_2_28,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_3_31,PARKSAUSTRALIA_JURIEN_202201_JNE_1_26,PARKSAUSTRALIA_JURIEN_202201_JNE_2_28,PARKSAUSTRALIA_MURAT_202002_MRE_2_21,PARKSAUSTRALIA_MURAT_202002_MRE_3_31,PARKSAUSTRALIA_MURAT_202002_MRE_4_30,PARKSAUSTRALIA_NINGALOO_201909_NGN_10_31,PARKSAUSTRALIA_NINGALOO_201909_NGN_11_17,PARKSAUSTRALIA_SIMP_201808_WP_8_21,PARKSAUSTRALIA_SIMP_201812_WP_12_19,PARKSAUSTRALIA_SIMP_201906_WP_6_20,PARKSAUSTRALIA_SIMP_201906_WP_7_31,PARKSAUSTRALIA_SWC_202201_SWS_2_28,PARKSAUSTRALIA_SWC_202201_SWS_3_31,PARKSAUSTRALIA_TWOROCKS_202105_TRW_5_21,PARKSAUSTRALIA_TWOROCKS_202105_TRW_6_25,PARKSAUSTRALIA_TWOROCKS_202105_TRW_7_30
PARKSAUSTRALIA_CGMP_201807_CG_7_30,0,0.008758755724918623,0.011555717706776296,0.014235005885922752,0.007844071667946427,0.007727432932671463,0.0178742058134898,0.022958657091506032,0.020096892656259673,0.02534364179014304,0.032013359670807026,0.05342121237822209,0.052659120996464935,0.017055182463628586,0.01762200072295723,0.015615054978383093,0.04162587532775142,0.03777870418554981,0.018694586565159852,0.03330614352905572,0.01906553931860757,0.01575143794219508,0.05131946687514147,0.049997197788381305,0.015342079056532312,0.016379635595645918,0.02025273801445779
PARKSAUSTRALIA_CGMP_201812_CG_1_31,0.011555717706776296,0.007317732596639154,0,0.004739211685739301,0.007120426674379635,0.014941362426517241,0.015888891039536966,0.021431903431517164,0.02321531239152573,0.024725554678735318,0.029493406876390297,0.06174353633167006,0.06089459613784746,0.023227114486730326,0.023734364364925924,0.021239960518649646,0.04974690141474906,0.04542622748367299,0.017012015613397175,0.025561969269112545,0.012794424430989786,0.01387803078502626,0.059849308452721,0.058538870892022775,0.01840398269419026,0.019163890479502364,0.027423380499126872
PARKSAUSTRALIA_CGMP_201812_CG_12_20,0.008758755724918623,0,0.007317732596639154,0.009786629065173623,0.006343029867415541,0.009743579264831548,0.012515966754685567,0.01825511236289044,0.023763916041968258,0.027111374319177563,0.03394091087574581,0.05537801443609131,0.05427383874355621,0.017976021599467918,0.018943375852838614,0.017522666929735843,0.043447002780991714,0.03889155680012928,0.018706706405819944,0.03198716354025935,0.017590167383996866,0.015023693352758593,0.053725526898971594,0.052433174339322444,0.015434512409040278,0.017179342120210807,0.02224597811825953
PARKSAUSTRALIA_CGMP_201812_CG_2_19,0.014235005885922752,0.009786629065173623,0.004739211685739301,0,0.009955118963058465,0.016970647517782156,0.01800681542392687,0.02066187890733814,0.026830032262525335,0.027323057063745958,0.03148144188080603,0.06368301212033964,0.06244230534289825,0.026192485237878177,0.026917477695234306,0.025011876512829916,0.05176483824951654,0.04706229553118186,0.01480173854517773,0.02555112885150533,0.011880882479597983,0.012013862058955231,0.06168371833833656,0.06036897461241558,0.021959626743945557,0.022655459937737463,0.03012071000516409
PARKSAUSTRALIA_CGMP_201904_CG_5_31,0.007844071667946427,0.006343029867415541,0.007120426674379635,0.009955118963058465,0,0.009357389938051602,0.01538050798151384,0.021105077067781287,0.02192436328756389,0.02419909590324034,0.030004816850474188,0.05833867080879523,0.056864422036629406,0.0198463299447308,0.020759547421134943,0.018249314775821472,0.04641480974289883,0.0416889288708793,0.01973248188280638,0.030439636220039753,0.016210553656666103,0.016066123881693227,0.056135554686524904,0.054855166785945576,0.014496985022803329,0.01627916550190197,0.023506516015976343
PARKSAUSTRALIA_CGMP_201904_CG_6_23,0.007727432932671463,0.009743579264831548,0.014941362426517241,0.016970647517782156,0.009357389938051602,0,0.013714273254163951,0.018701828284843895,0.025088836624282927,0.031046897256838263,0.03839750796269032,0.04953678201572888,0.048051357747549976,0.01449139272249757,0.01598652853981818,0.014767583701079905,0.03751267449138831,0.03274129205539783,0.023204742683195986,0.03859990475651781,0.023976126076294936,0.018992107092074856,0.04758070914637689,0.04632018244033308,0.015506421577688572,0.017070663665995314,0.017452695258136888
PARKSAUSTRALIA_DAMPIER_202009_DNE_10_30,0.0178742058134898,0.012515966754685567,0.015888891039536966,0.01800681542392687,0.01538050798151384,0.013714273254163951,0,0.010505660490474801,0.03252506998610955,0.03632032256410486,0.04208006537468505,0.0505216821451981,0.04968526323740977,0.018110322939120425,0.019566543389174663,0.019362012342953552,0.038459712833415906,0.03492255724896104,0.02641100866856186,0.03813253270319683,0.02515009941317155,0.023543510194970443,0.048840518265778704,0.04764142452324562,0.021636911063275966,0.02372003540364361,0.02295253761818077
PARKSAUSTRALIA_DAMPIER_202009_DNE_9_21,0.022958657091506032,0.01825511236289044,0.021431903431517164,0.02066187890733814,0.021105077067781287,0.018701828284843895,0.010505660490474801,0,0.038823618160054675,0.04265855136008728,0.04858952478029099,0.051069094250142916,0.050463914463617233,0.02546906477048094,0.026996767677951887,0.026466385764871855,0.04212356624730535,0.038274546777743106,0.02754589970745096,0.04351089531308522,0.029003217872108723,0.024823072996752966,0.05078534931270389,0.04978395165895743,0.02701706633474435,0.028495633431312287,0.028983595630358107
PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_1_19,0.020096892656259673,0.023763916041968258,0.02321531239152573,0.026830032262525335,0.02192436328756389,0.025088836624282927,0.03252506998610955,0.038823618160054675,0,0.007263014186873414,0.01450337499633703,0.06295214950669938,0.06281275248909843,0.028058628574658316,0.026519568091097855,0.022325575779978016,0.05343664958106497,0.050660787866493966,0.027267442235227732,0.025331553282064285,0.022795598278192032,0.02499918241535247,0.06091187727295385,0.059517511182864316,0.014217941637859572,0.012833512694166098,0.029728354470305453
PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_2_28,0.02534364179014304,0.027111374319177563,0.024725554678735318,0.027323057063745958,0.02419909590324034,0.031046897256838263,0.03632032256410486,0.04265855136008728,0.007263014186873414,0,0.007455354428727754,0.06999404904807409,0.06985966326859223,0.034942357391953,0.03342184534648284,0.029167631820549714,0.060417703509285256,0.057619679485030134,0.026645940948227382,0.02201164429515783,0.021730740779744746,0.02616142440027715,0.06796066965422266,0.0665715834739987,0.019059337361678225,0.018136662670360827,0.03659566350739078
PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_3_31,0.032013359670807026,0.03394091087574581,0.029493406876390297,0.03148144188080603,0.030004816850474188,0.03839750796269032,0.04208006537468505,0.04858952478029099,0.01450337499633703,0.007455354428727754,0,0.07740048884956575,0.07726358304974208,0.042379702224316106,0.04086345520805816,0.03659541648243157,0.06785494300444193,0.06506646243310062,0.03153531948648423,0.021060809838255423,0.024422331186575937,0.03209956245913264,0.07536293141536003,0.07397025866104341,0.026413024293637892,0.025393838863031724,0.04403211902019386
PARKSAUSTRALIA_JURIEN_202201_JNE_1_26,0.05342121237822209,0.05537801443609131,0.06174353633167006,0.06368301212033964,0.05833867080879523,0.04953678201572888,0.0505216821451981,0.051069094250142916,0.06295214950669938,0.06999404904807409,0.07740048884956575,0,0.0027572848766613447,0.040242910585899024,0.04075212012084418,0.04647953398852991,0.014909735717807933,0.021042575104627422,0.06441453700486231,0.08090965396041878,0.06850795505811386,0.06260129158509622,0.004950853751830623,0.005838423434683507,0.05804259096243134,0.0586398891049,0.03979347702078573
PARKSAUSTRALIA_JURIEN_202201_JNE_2_28,0.052659120996464935,0.05427383874355621,0.06089459613784746,0.06244230534289825,0.056864422036629406,0.048051357747549976,0.04968526323740977,0.050463914463617233,0.06281275248909843,0.06985966326859223,0.07726358304974208,0.0027572848766613447,0,0.0393329902156267,0.03994270995352736,0.045472173372275264,0.013865394330471197,0.019549011039156353,0.0638937747960792,0.08066626635531289,0.06801435385312699,0.062036594330250994,0.005300098577501838,0.005932588480904952,0.056588228120416105,0.05718771721261621,0.03823323245707894
PARKSAUSTRALIA_MURAT_202002_MRE_2_21,0.017055182463628586,0.017976021599467918,0.023227114486730326,0.026192485237878177,0.0198463299447308,0.01449139272249757,0.018110322939120425,0.02546906477048094,0.028058628574658316,0.034942357391953,0.042379702224316106,0.040242910585899024,0.0393329902156267,0,0.002780156417161471,0.007542944539253904,0.029002930643315328,0.025032498958669835,0.030492775285084435,0.043013793140643915,0.030234938807271183,0.02675378913304911,0.03737880809976725,0.03608114691336419,0.01927282176168521,0.020682197122263872,0.00644208336978415
PARKSAUSTRALIA_MURAT_202002_MRE_3_31,0.01762200072295723,0.018943375852838614,0.023734364364925924,0.026917477695234306,0.020759547421134943,0.01598652853981818,0.019566543389174663,0.026996767677951887,0.026519568091097855,0.03342184534648284,0.04086345520805816,0.04075212012084418,0.03994270995352736,0.002780156417161471,0,0.006668445234485867,0.0296106548185098,0.025937399432615096,0.030776251643257313,0.04225535745930874,0.02999374815744707,0.026942300424277022,0.037777725184005934,0.036483282861179,0.018721702496036746,0.020053959399076844,0.006445571975904697
PARKSAUSTRALIA_MURAT_202002_MRE_4_30,0.015615054978383093,0.017522666929735843,0.021239960518649646,0.025011876512829916,0.018249314775821472,0.014767583701079905,0.019362012342953552,0.026466385764871855,0.022325575779978016,0.029167631820549714,0.03659541648243157,0.04647953398852991,0.045472173372275264,0.007542944539253904,0.006668445234485867,0,0.035453188061790444,0.03163959812622132,0.02867389145035832,0.03703205238315518,0.026429748617056582,0.02438533117198781,0.043539276187449634,0.04226676329899025,0.012685094815604396,0.01432770114831358,0.009808107673260652
PARKSAUSTRALIA_NINGALOO_201909_NGN_10_31,0.04162587532775142,0.043447002780991714,0.04974690141474906,0.05176483824951654,0.04641480974289883,0.03751267449138831,0.038459712833415906,0.04212356624730535,0.05343664958106497,0.060417703509285256,0.06785494300444193,0.014909735717807933,0.013865394330471197,0.029002930643315328,0.0296106548185098,0.035453188061790444,0,0.006918816671606682,0.053064717626936486,0.07039476952262708,0.057250567095399024,0.051354407382734044,0.012955386468963787,0.012033717194289898,0.04728223904566468,0.048104339216659464,0.029171450655027294
PARKSAUSTRALIA_NINGALOO_201909_NGN_11_17,0.03777870418554981,0.03889155680012928,0.04542622748367299,0.04706229553118186,0.0416889288708793,0.03274129205539783,0.03492255724896104,0.038274546777743106,0.050660787866493966,0.057619679485030134,0.06506646243310062,0.021042575104627422,0.019549011039156353,0.025032498958669835,0.025937399432615096,0.03163959812622132,0.006918816671606682,0,0.05041268175098944,0.06706212347740673,0.05349864167005541,0.047645755189317074,0.01940023628016448,0.018402314175059085,0.042961308126404966,0.04391798579060655,0.0256076639860109
PARKSAUSTRALIA_SIMP_201808_WP_8_21,0.018694586565159852,0.018706706405819944,0.017012015613397175,0.01480173854517773,0.01973248188280638,0.023204742683195986,0.02641100866856186,0.02754589970745096,0.027267442235227732,0.026645940948227382,0.03153531948648423,0.06441453700486231,0.0638937747960792,0.030492775285084435,0.030776251643257313,0.02867389145035832,0.053064717626936486,0.05041268175098944,0,0.021610777958976986,0.008619793145171136,0.005942417080183123,0.061718359894544265,0.06038163476691416,0.026036041497415854,0.02572278021675868,0.033980365674074156
PARKSAUSTRALIA_SIMP_201812_WP_12_19,0.03330614352905572,0.03198716354025935,0.025561969269112545,0.02555112885150533,0.030439636220039753,0.03859990475651781,0.03813253270319683,0.04351089531308522,0.025331553282064285,0.02201164429515783,0.021060809838255423,0.08090965396041878,0.08066626635531289,0.043013793140643915,0.04225535745930874,0.03703205238315518,0.07039476952262708,0.06706212347740673,0.021610777958976986,0,0.016128590755686067,0.02364406766592012,0.07851419220092615,0.07717911354191166,0.029569441466580113,0.029902648610277378,0.04492068472885586
PARKSAUSTRALIA_SIMP_201906_WP_6_20,0.01906553931860757,0.017590167383996866,0.012794424430989786,0.011880882479597983,0.016210553656666103,0.023976126076294936,0.02515009941317155,0.029003217872108723,0.022795598278192032,0.021730740779744746,0.024422331186575937,0.06850795505811386,0.06801435385312699,0.030234938807271183,0.02999374815744707,0.026429748617056582,0.057250567095399024,0.05349864167005541,0.008619793145171136,0.016128590755686067,0,0.0079165292213116,0.06573540022010578,0.06441924343649694,0.022247254207598176,0.022093051598167827,0.03336183393253048
PARKSAUSTRALIA_SIMP_201906_WP_7_31,0.01575143794219508,0.015023693352758593,0.01387803078502626,0.012013862058955231,0.016066123881693227,0.018992107092074856,0.023543510194970443,0.024823072996752966,0.02499918241535247,0.02616142440027715,0.03209956245913264,0.06260129158509622,0.062036594330250994,0.02675378913304911,0.026942300424277022,0.02438533117198781,0.051354407382734044,0.047645755189317074,0.005942417080183123,0.02364406766592012,0.0079165292213116,0,0.059799485941064746,0.058508379186854434,0.021531992734778606,0.021646956198182587,0.030208778632057256
PARKSAUSTRALIA_SWC_202201_SWS_2_28,0.05131946687514147,0.053725526898971594,0.059849308452721,0.06168371833833656,0.056135554686524904,0.04758070914637689,0.048840518265778704,0.05078534931270389,0.06091187727295385,0.06796066965422266,0.07536293141536003,0.004950853751830623,0.005300098577501838,0.03737880809976725,0.037777725184005934,0.043539276187449634,0.012955386468963787,0.01940023628016448,0.061718359894544265,0.07851419220092615,0.06573540022010578,0.059799485941064746,0,0.0017032466635731275,0.055373481224265476,0.05615845432247608,0.0372329847016051
PARKSAUSTRALIA_SWC_202201_SWS_3_31,0.049997197788381305,0.052433174339322444,0.058538870892022775,0.06036897461241558,0.054855166785945576,0.04632018244033308,0.04764142452324562,0.04978395165895743,0.059517511182864316,0.0665715834739987,0.07397025866104341,0.005838423434683507,0.005932588480904952,0.03608114691336419,0.036483282861179,0.04226676329899025,0.012033717194289898,0.018402314175059085,0.06038163476691416,0.07717911354191166,0.06441924343649694,0.058508379186854434,0.0017032466635731275,0,0.05411191235433345,0.054898827645519496,0.035962355662340476
PARKSAUSTRALIA_TWOROCKS_202105_TRW_5_21,0.015342079056532312,0.015434512409040278,0.01840398269419026,0.021959626743945557,0.014496985022803329,0.015506421577688572,0.021636911063275966,0.02701706633474435,0.014217941637859572,0.019059337361678225,0.026413024293637892,0.05804259096243134,0.056588228120416105,0.01927282176168521,0.018721702496036746,0.012685094815604396,0.04728223904566468,0.042961308126404966,0.026036041497415854,0.029569441466580113,0.022247254207598176,0.021531992734778606,0.055373481224265476,0.05411191235433345,0,0.004584271929259528,0.019212679883544973
PARKSAUSTRALIA_TWOROCKS_202105_TRW_6_25,0.016379635595645918,0.017179342120210807,0.019163890479502364,0.022655459937737463,0.01627916550190197,0.017070663665995314,0.02372003540364361,0.028495633431312287,0.012833512694166098,0.018136662670360827,0.025393838863031724,0.0586398891049,0.05718771721261621,0.020682197122263872,0.020053959399076844,0.01432770114831358,0.048104339216659464,0.04391798579060655,0.02572278021675868,0.029902648610277378,0.022093051598167827,0.021646956198182587,0.05615845432247608,0.054898827645519496,0.004584271929259528,0,0.0202368677582691
PARKSAUSTRALIA_TWOROCKS_202105_TRW_7_30,0.02025273801445779,0.02224597811825953,0.027423380499126872,0.03012071000516409,0.023506516015976343,0.017452695258136888,0.02295253761818077,0.028983595630358107,0.029728354470305453,0.03659566350739078,0.04403211902019386,0.03979347702078573,0.03823323245707894,0.00644208336978415,0.006445571975904697,0.009808107673260652,0.029171450655027294,0.0256076639860109,0.033980365674074156,0.04492068472885586,0.03336183393253048,0.030208778632057256,0.0372329847016051,0.035962355662340476,0.019212679883544973,0.0202368677582691,0
